"","DepMap_ID","stripped_cell_line_name","CCLE_Name","Alias","COSMICID","sex","source","Achilles_n_replicates","cell_line_NNMD","culture_type","culture_medium","cas9_activity","RRID","sample_collection_site","primary_or_metastasis","primary_disease","Subtype","age","Sanger_Model_ID","WTSI_Master_Cell_ID","depmap_public_comments","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","copy_number","abs_CN","mRNA_expression","protein_expression","CERES","p_dep"
"1","ACH-000001","NIHOVCAR3","NIHOVCAR3_OVARY","OVCAR3",905933,"Female","ATCC",NA,NA,"","","","CVCL_0465","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, high grade serous",60,"SIDM00105",2201,"","ovary","ovary_adenocarcinoma","high_grade_serous","",1.09863880937937,4,3.28983446517751,-1.09336905676889,NA,NA
"2","ACH-000002","HL60","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",905938,"Female","ATCC",NA,NA,"","","","CVCL_0002","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",35,"SIDM00829",55,"","blood","AML","M3","",0.981248962193359,2,0.0840642647884745,NA,NA,NA
"3","ACH-000003","CACO2","CACO2_LARGE_INTESTINE","CACO2, CaCo-2",NA,"Male","ATCC",NA,NA,"","","","CVCL_0025","Colon","","Colon/Colorectal Cancer","Adenocarcinoma",NA,"SIDM00891",NA,"","colorectal","colorectal_adenocarcinoma","","",1.02704890870038,NA,4.09761079662642,NA,NA,NA
"4","ACH-000004","HEL","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907053,"Male","DSMZ",2,-3.07920202781746,"Suspension","RPMI + 10% FBS","52.4","CVCL_0001","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,"SIDM00594",783,"","blood","AML","M6","",1.25388127034857,4,0.0565835283663675,-2.4491620331784,-0.287778318141062,0.192489502471788
"5","ACH-000005","HEL9217","HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"Male","ATCC",2,-2.4044091731814,"Suspension","RPMI + 10% FBS","86.6","CVCL_2481","bone_marrow","","Leukemia","Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,"SIDM00593",NA,"","blood","AML","M6","",1.32193319446068,4,0.0285691521967709,-3.02585842710143,0.192687719458012,0.00168217909812528
"6","ACH-000006","MONOMAC6","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",908148,"Male","DSMZ",NA,NA,"","","","CVCL_1426","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64,"SIDM01023",2167,"","blood","AML","M5","",1.09591508304655,2,0.687060688339892,-1.48948419680828,NA,NA
"7","ACH-000007","LS513","LS513_LARGE_INTESTINE","",907795,"Male","ATCC",2,-2.5867076230269,"Adherent","RPMI + 10% FBS","47.7","CVCL_1386","large_intestine","Primary","Colon/Colorectal Cancer","Adenocarcinoma",63,"SIDM00677",569,"","colorectal","colorectal_adenocarcinoma","","",0.979669794748533,2,5.50620838930675,2.14139219234289,-0.101042782140207,0.0255219644049596
"8","ACH-000008","A101D","A101D_SKIN","",910921,"Male","ATCC",NA,NA,"","","","CVCL_1057","skin","","Skin Cancer","Melanoma",56,"SIDM00801",1806,"","skin","melanoma","","",0.807900845119182,2,2.24792751344359,-0.88858564730838,NA,NA
"9","ACH-000009","C2BBE1","C2BBE1_LARGE_INTESTINE","",910700,"Male","ATCC",3,-4.13549141730798,"Adherent","DMEM + 10% FBS + Glutamine + Insulin-Transferrin-Selenium","94.2","CVCL_1096","Colon","Primary","Colon/Colorectal Cancer","Adenocarcinoma",72,"SIDM01233",2104,"","colorectal","colorectal_adenocarcinoma","","",0.910024446033639,1,4.10936055940423,NA,0.128662865484102,0.0008836380951114
"10","ACH-000011","253J","253J_URINARY_TRACT","",NA,"Male","KCLB",1,-3.18037938021089,"","DMEM + 10% FBS","89","CVCL_7935","lymph_node","Metastasis","Bladder Cancer","Carcinoma",53,"",NA,"","urinary_tract","bladder_carcinoma","","",0.844566062181956,NA,1.58496250072116,NA,-0.0939060333494719,0.028503905609005
